Gene	Stage
TRIO	Prog
ACTG1	Prog
IL32	Prog
LYPLA2	Prog
PTK2	Prog
MAP4K4	Prog
RHOD	Prog
HBB	Prog
ITGA5	Prog
DAB2	Prog
EIF2B3	Prog
MITD1	Prog
PNO1	Prog
ANXA3	Prog
ZNF644	Prog
ALG2	Prog
PGAM4	Prog
STEAP1B	Prog
C9ORF3	Prog
DTNA	Prog
KLHL5	Prog
MTG1	Prog
PLEKHA1	Prog
TP53I3	Prog
GALNT2	Prog
LRRFIP1	Prog
PIEZO1	Prog
PPIL1	Prog
C15ORF40	Prog
HSBP1L1	Prog
LRRC59	Prog
ITGA6	Prog
RAE1	Prog
ANKRD11	Prog
DNAJC1	Prog
FSTL3	Prog
MPHOSPH6	Prog
PELO	Prog
LSM10	Prog
MT1G	Prog
C19ORF48	Prog
CREB3	Prog
FAM204A	Prog
SERINC1	Prog
UBE2L6	Prog
FAT1	Prog
MNAT1	Prog
FASTKD2	Prog
IFNAR2	Prog
VPS26A	Prog
BAMBI	Prog
C7ORF50	Prog
S100P	Prog
AHSP	Prog
S100A3	Prog
WDR43	Prog
SIGMAR1	Prog
TSFM	Prog
CYB5B	Prog
FIBP	Prog
OGFOD1	Prog
SMG1	Prog
TAGLN	Prog
ALG14	Prog
C1GALT1C1	Prog
IKBKAP	Prog
OLFML3	Prog
TACC1	Prog
CUL2	Prog
DNLZ	Prog
CFL2	Prog
SNX7	Prog
BAIAP2L1	Prog
C14ORF105	Prog
TATDN1	Prog
TMEM170A	Prog
RAI14	Prog
AASDHPPT	Prog
KHDRBS3	Prog
MPV17	Prog
NOL10	Prog
RP11-449H3.3	Prog
CASP7	Prog
DSCR3	Prog
IP6K3	Prog
RBM4B	Prog
SLC16A7	Prog
TNFAIP8	Prog
DMKN	Prog
FUBP1	Prog
PDXK	Prog
TMEM138	Prog
EIF4G3	Prog
LPP	Prog
WBP4	Prog
FADS3	Prog
MMD	Prog
NUDT21	Prog
SOX4	Prog
ACOT9	Prog
AGPAT2	Prog
C16ORF91	Prog
FKBP1B	Prog
PVR	Prog
SERPINA3	Prog
CPPED1	Prog
EZR	Prog
GPX7	Prog
IFI30	Prog
POP4	Prog
SNX5	Prog
TM2D3	Prog
CIDEC	Prog
PIGU	Prog
RAB3B	Prog
SCO2	Prog
OSTF1	Prog
IGFBP2	Prog
PSEN1	Prog
PCOLCE2	Prog
PGM3	Prog
ROBO1	Prog
TRMT6	Prog
FAM206A	Prog
FYTTD1	Prog
DYNC1LI1	Prog
MED15	Prog
PALLD	Prog
PPAT	Prog
RNASEH1	Prog
LOXL4	Prog
NRP2	Prog
SLC7A6	Prog
ELOF1	Prog
GRIA3	Prog
NSMCE4A	Prog
PABPN1	Prog
RHBDD2	Prog
UBA2	Prog
XPNPEP1	Prog
AJUBA	Prog
ARFIP1	Prog
ARMC10	Prog
FAIM	Prog
NEK6	Prog
SVIL	Prog
USB1	Prog
AKR1C2	Prog
GNAI1	Prog
MAGED2	Prog
RIF1	Prog
RPAP3	Prog
DDX50	Prog
BCL7C	Prog
FAM195B	Prog
IGF2BP1	Prog
LCOR	Prog
RNMT	Prog
STK38L	Prog
MAPK8	Prog
MAPKAP1	Prog
SMTN	Prog
TBRG4	Prog
CPD	Prog
EFTUD2	Prog
SYNGR2	Prog
TRMT11	Prog
BOD1	Prog
C8ORF33	Prog
CUL5	Prog
GINM1	Prog
PHTF1	Prog
RNF216	Prog
ASNSD1	Prog
COX19	Prog
